Polaris	1,260.0000	6015
Alioth	108.0000	10800
Dubhe	316.0000	4660
Arcturus	170.0000	4286
Vega	40.1200	9602
Altair	10.6000	7700
61 Cygni A	0.1530	4526
61 Cygni B	0.0850	4077
Deneb	196,000.0000	8525
Mirphak	5,291.3200	6350
Regulus	288.0000	12460
Spica	12,100.0000	22400
Antares	57,500.0000	3400
Barnard's Star	0.0040	3134
Aldebaran	518.0000	3910
Alnath	700.0000	13824
Tau Ceti	0.5200	5344
40 Eridani A	0.4600	5300
41 Eridani B	0.0130	16500
Achernar	3,150.0000	15000
Alnilam	610,500.0000	27000
Alnitak	152.6667	28000
Rigel	120,000.0000	12100
Castor	0.0733	10286
Pollux	43.0000	4666
Procyon A	6.9300	6530
Procyon B	0.0005	7740
Alphard	780.0000	4120
Alpha Centauri B	1.5190	5790
Proxima Centauri	0.0001	3042
Gacrux	1,500.0000	3626
Sirius A	25.4000	9940
Sirius B	0.0560	25200
Naos	675,000.0000	40000
Canopus	10,700.0000	6998
Sun	1.0000	5772
Betelgeuze	120,000.0000	3590
Fomalhaut	16.6300	8590
van Maanen's Star	0.0002	6220
