Name	Luminosity 	LogLuminosity	Temperature 	LogTemperature
Garnet Star	283000.00000	5.45	3750	3.574
Polaris	1260.00000	3.10	6015	3.779
Alioth	108.00000	2.03	10800	4.033
Dubhe	316.00000	2.50	4660	3.668
Arcturus	170.00000	2.23	4286	3.632
Vega	40.12000	1.60	9602	3.982
Altair	10.60000	1.03	7700	3.886
61 Cygni A	0.15300	-0.82	4526	3.656
61 Cygni B	0.08500	-1.07	4077	3.610
Deneb	196000.00000	5.29	8525	3.931
Mirphak	5291.32000	3.72	6350	3.803
Regulus	288.00000	2.46	12460	4.096
Spica	12100.00000	4.08	22400	4.350
Antares	57500.00000	4.76	3400	3.531
Barnard's Star	0.00400	-2.40	3134	3.496
Aldebaran	518.00000	2.71	3910	3.592
Alnath	700.00000	2.85	13824	4.141
Tau Ceti	0.52000	-0.28	5344	3.728
40 Eridani A	0.46000	-0.34	5300	3.724
41 Eridani B	0.01300	-1.89	16500	4.217
Achernar	3150.00000	3.50	15000	4.176
Alnilam	610500.00000	5.79	27000	4.431
Alnitak	250000.00000	5.40	28000	4.447
Rigel	120000.00000	5.08	12100	4.083
Castor	51.00000	1.71	10286	4.012
Pollux	43.00000	1.63	4666	3.669
Procyon A	6.93000	0.84	6530	3.815
Procyon B	0.00049	-3.31	7740	3.889
Alphard	780.00000	2.89	4120	3.615
Alpha Centauri B	1.51900	0.18	5790	3.763
Proxima Centauri	0.00005	-4.30	3042	3.483
Gacrux	1500.00000	3.18	3626	3.559
Sirius A	25.40000	1.40	9940	3.997
Sirius B	0.05600	-1.25	25200	4.401
Naos	675000.00000	5.83	40000	4.602
Canopus	10700.00000	4.03	6998	3.845
Sun	1.00000	0.00	5772	3.761
Betelgeuze	120000.00000	5.08	3590	3.555
Fomalhaut	16.63000	1.22	8590	3.934
van Maanen's Star	0.00017	-3.77	6220	3.794
